MAPPINGS,ISA ontology term label,URI,,,,,,,,
Investigation,investigation,http://www.purl.org/isatools/ISA_00000058,,,,,,,,
Investigation Identifier,,,,,,,,,,
Investigation Title,title,http://www.purl.org/isatools/ISA_00000024,describes,http://www.purl.org/isatools/ISA_00000066,investigation,Investigation,,,,,,,
Investigation Description,description,http://www.purl.org/isatools/ISA_00000009,describes,http://www.purl.org/isatools/ISA_00000066,investigation,Investigation,,,,,,,
Investigation Submission Date,,,,,,,,,,
Investigation Public Release Date,,,,,,,,,,
Comment [Created with configuration],,,,,,,,,,
Comment [Last Opened With Configuration],,,,,,,,,,
,,,,,,,,,,
Publication,,,,,,,,,,
Investigation PubMed ID,,,,,,,,,,
Investigation Publication DOI,,,,,,,,,,
Investigation Publication Author List,,,,,,,,,,
Investigation Publication Title,,,,,,,,,,
Investigation Publication Status,,,,,,,,,,
,,,,,,,,,,
Study,study,,,,,,,,,
Study Identifier,,,,,,,,,,
Study Title,,,,,,,,,,
Study Description,,,,,,,,,,
Study Submission Date,,,,,,,,,,
Study Public Release Date,,,,,,,,,,
Study Submission Date,,,,,,,,,,
Study Release Date,,,,,,,,,,
Study File,,,,,,,,,,
Study File Name,,,,,,,,,,
,,,,,,,,,,
Publication,,,,,,,,,,
Study PubMed ID,,,,,,,,,,
Study Publication DOI,,,,,,,,,,
Study Publication Author List,,,,,,,,,,
Study Publication Title,,,,,,,,,,
Study Publication Status,,,,,,,,,,
,,,,,,,,,,
Study Person,,,,,,,,,,
Study Person Full Name,,,,,,,,,,
Study Person Last Name,last name,http://www.purl.org/isatools/ISA_00000045,,,,,,,,
Study Person First Name,first name,http://www.purl.org/isatools/ISA_00000044,,,,,,,,
Study Person Mid Initials,,,,,,,,,,
Study Person Email,,,,,,,,,,
Study Person Phone,,,,,,,,,,
Study Person Fax,,,,,,,,,,
Study Person Address,,,,,,,,,,
Study Person Affiliation,,,,,,,,,,
Study Person Roles,,,,,,,,,,
,,,,,,,,,,
Study Factor,,,,,,,,,,
Study Factor Name,,,,,,,,,,
Study Factor Type,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Study Design Execution,,,,,,,,,,
Study Design Type,,,,,,,,,,
Study Design Type,,,,,,,,,,
Study Design Execution,,,,,,,,,,
,,,,,,,,,,
Study Assay,assay,http://www.purl.org/isatools/ISA_00000056,has measurement,http://www.purl.org/isatools/ISA_00000086,measurement type,Study Assay Measurement Type,has technology ,http://www.purl.org/isatools/ISA_00000087,technology type,Study Assay Technology Type
Study Assay Measurement Type,measurement,http://www.purl.org/isatools/ISA_00000059,,,,,,,,
Study Assay Technology Type,technology,http://www.purl.org/isatools/ISA_00000062,,,,,,,,
Study Assay Technology Platform,,,,,,,,,,
Study Assay File,file,http://www.purl.org/isatools/ISA_00000014,,,,,,,,
Study Assay File Name,,,,,,,,,,
,,,,,,,,,,
Study Protocol,,,,,,,,,,
Study Protocol Name,,,,,,,,,,
Study Protocol Type,,,,,,,,,,
Study Protocol Description,,,,,,,,,,
Study Protocol URI,,,,,,,,,,
Study Protocol Version,,,,,,,,,,
Study Protocol Parameter,,,,,,,,,,
Study Protocol Parameters Name,,,,,,,,,,
Study Protocol Component,,,,,,,,,,
Study Protocol Components Name,,,,,,,,,,
Study Protocol Components Type,,,,,,,,,,
,,,,,,,,,,
Source,,,,,,,,,,
Source Name,,,,,,,,,,
{Sample|Extract|Labeled Extract},,,,,,,,,,
{Sample Name|Extract Name|Labeled Extract Name},,,,,,,,,,
Characteristics,,,,,,,,,,
{Source|Sample|Extract|Labeled Extract},,,,,,,,,,
,,,,,,,,,,
Study Protocol REF,,,,,,,,,,
Assay Protocol REF,,,,,,,,,,
Study Protocol REF Input,,,,,,,,,,
Study Protocol REF Output,,,,,,,,,,
Assay Protocol REF Input,,,,,,,,,,
Assay Protocol REF Output,,,,,,,,,,
Parameter Value[],,,,,,,,,,
Parameter Value[instrument],,,,,,,,,,
Parameter Value[software],,,,,,,,,,
Unit,,,,,,,,,,
Date,,,,,,,,,,
Performer,,,,,,,,,,
,,,,,,,,,,
Study Group,,,,,,,,,,
